id,epoch,epoch_size,num_samples,total_workload,batch_size,lr,initial_loss,loss,acc,throughput
6,20,20000,400000,1380000,1024,0.004,6.908539653,3.002018109,0.072420635,3426.412759
6,21,20000,420000,1380000,1024,0.004,6.908539653,2.976576224,0.073412698,3398.522836
6,22,20000,440000,1380000,1024,0.004,6.908539653,2.949361071,0.071428571,3362.238183
6,23,20000,460000,1380000,1024,0.004,6.908539653,2.856193945,0.10218254,3366.416685
6,24,20000,480000,1380000,1024,0.004,6.908539653,2.88876532,0.121031746,3444.342234
6,25,20000,500000,1380000,1024,0.004,6.908539653,2.854689986,0.118055556,3561.596847
6,26,20000,520000,1380000,1024,0.004,6.908539653,2.797844917,0.120039683,3388.378957
6,27,20000,540000,1380000,1024,0.004,6.908539653,2.8078091,0.129960317,3356.436289
6,28,20000,560000,1380000,1024,0.004,6.908539653,2.783222556,0.123015873,3518.138981
6,29,20000,580000,1380000,1024,0.004,6.908539653,2.769229636,0.131944444,3482.520813
6,30,20000,600000,1380000,1024,0.004,6.908539653,2.806422263,0.12797619,3352.906037
6,31,20000,620000,1380000,1024,0.004,6.908539653,2.798675358,0.134920635,3403.404079
6,32,20000,640000,1380000,1024,0.004,6.908539653,2.771506652,0.130952381,3421.875071
6,33,20000,660000,1380000,1024,0.004,6.908539653,2.740690753,0.150793651,3539.89328
6,34,20000,680000,1380000,1024,0.004,6.908539653,2.743837178,0.14781746,3432.847349
6,35,20000,700000,1380000,1024,0.004,6.908539653,2.723692983,0.155753968,3344.837857
6,36,20000,720000,1380000,1024,0.004,6.908539653,2.707405135,0.158730159,3555.719099
6,37,20000,740000,1380000,1024,0.004,6.908539653,2.633236393,0.176587302,3375.71755
6,38,20000,760000,1380000,1024,0.004,6.908539653,2.62635757,0.193452381,3383.620391
6,39,20000,780000,1380000,1024,0.004,6.908539653,2.595975503,0.198412698,3487.251314
6,40,20000,800000,1380000,1024,0.004,6.908539653,2.573254034,0.203373016,3398.569614
6,41,20000,820000,1380000,1024,0.004,6.908539653,2.555286169,0.206349206,3431.448197
6,42,20000,840000,1380000,1024,0.004,6.908539653,2.593097895,0.188492063,3416.649047
6,43,20000,860000,1380000,1024,0.004,6.908539653,2.578968063,0.194444444,3358.848676
6,44,20000,880000,1380000,1024,0.004,6.908539653,2.521145299,0.220238095,3596.42704
6,45,20000,900000,1380000,1024,0.004,6.908539653,2.483406082,0.223214286,3271.227136
6,46,20000,920000,1380000,1024,0.004,6.908539653,2.485744715,0.220238095,3355.102706
6,47,20000,940000,1380000,1024,0.004,6.908539653,2.47723648,0.223214286,3384.893841
6,48,20000,960000,1380000,1024,0.004,6.908539653,2.476575553,0.228174603,3355.871246
6,49,20000,980000,1380000,1024,0.004,6.908539653,2.468669608,0.231150794,3352.032903
6,50,20000,1000000,1380000,1024,0.004,6.908539653,2.464453086,0.228174603,3368.101614
6,51,20000,1020000,1380000,1024,0.004,6.908539653,2.447964415,0.233134921,3366.888473
6,52,20000,1040000,1380000,1024,0.004,6.908539653,2.433181003,0.241071429,3583.168025
6,53,20000,1060000,1380000,1024,0.004,6.908539653,2.408810094,0.253968254,3398.792198
6,54,20000,1080000,1380000,1024,0.004,6.908539653,2.38655223,0.260912698,3463.602197
6,55,20000,1100000,1380000,1024,0.004,6.908539653,2.396535143,0.251984127,3529.086037
6,56,20000,1120000,1380000,1024,0.004,6.908539653,2.388557196,0.254960317,3411.185818
6,57,20000,1140000,1380000,1024,0.004,6.908539653,2.388280481,0.25297619,3435.373981
6,58,20000,1160000,1380000,1024,0.004,6.908539653,2.381479442,0.261904762,3409.669943
6,59,20000,1180000,1380000,1024,0.004,6.908539653,2.371776074,0.261904762,3348.862817
6,60,20000,1200000,1380000,1024,0.004,6.908539653,2.378908709,0.256944444,3494.743787
6,61,20000,1220000,1380000,1024,0.004,6.908539653,2.374669001,0.264880952,3400.348395
6,62,20000,1240000,1380000,1024,0.004,6.908539653,2.351459861,0.260912698,3479.782177
6,63,20000,1260000,1380000,1024,0.004,6.908539653,2.357976377,0.264880952,3597.147155
6,64,20000,1280000,1380000,1024,0.004,6.908539653,2.301996991,0.270833333,3392.702648
6,65,20000,1300000,1380000,1024,0.004,6.908539653,2.316600457,0.265873016,3445.188492
6,66,20000,1320000,1380000,1024,0.004,6.908539653,2.262877271,0.285714286,3415.822651
6,67,20000,1340000,1380000,1024,0.004,6.908539653,2.249167249,0.291666667,3451.368555
6,68,20000,1360000,1380000,1024,0.004,6.908539653,2.222331747,0.287698413,3434.077316
0,1,8000,8000,48000,32,1.00E-05,0.656448112,0.464638219,0.790229885,102.2171466
0,2,8000,16000,48000,32,1.00E-05,0.656448112,0.478842774,0.829501916,102.1945678
0,3,8000,24000,48000,32,1.00E-05,0.656448112,0.536416685,0.828544061,102.2872491
0,4,8000,32000,48000,32,1.00E-05,0.656448112,0.591766538,0.82183908,100.9316545
0,5,8000,40000,48000,32,1.00E-05,0.656448112,0.67726891,0.831417625,101.1411084
4,1,40000,40000,1440000,512,0.004,6.907755621,2.354312234,0.100125,2685.819414
4,2,40000,80000,1440000,512,0.004,6.907755621,2.318683755,0.101625,2809.900428
4,3,40000,120000,1440000,512,0.004,6.907755621,2.315192755,0.101625,2822.414862
4,4,40000,160000,1440000,512,0.004,6.907755621,2.311698828,0.101625,2822.034779
4,5,40000,200000,1440000,512,0.004,6.907755621,2.305108428,0.101625,2817.754584
4,6,40000,240000,1440000,512,0.004,6.907755621,2.268058378,0.129375,2829.213746
4,7,40000,280000,1440000,512,0.004,6.907755621,1.949160412,0.174875,2821.211928
4,8,40000,320000,1440000,512,0.004,6.907755621,1.875025801,0.227625,2820.517229
4,9,40000,360000,1440000,512,0.004,6.907755621,1.912619371,0.25775,2833.721151
4,10,40000,400000,1440000,512,0.004,6.907755621,1.860130234,0.2595,2825.20988
4,11,40000,440000,1440000,512,0.004,6.907755621,1.777545083,0.297375,2824.540606
4,12,40000,480000,1440000,512,0.004,6.907755621,1.650776215,0.358,2823.403706
4,13,40000,520000,1440000,512,0.004,6.907755621,1.652852181,0.371375,2813.476355
4,14,40000,560000,1440000,512,0.004,6.907755621,1.569983833,0.40125,2809.961321
4,15,40000,600000,1440000,512,0.004,6.907755621,1.415926766,0.461625,2819.359681
4,16,40000,640000,1440000,512,0.004,6.907755621,1.327933228,0.504875,2814.220203
